Player,Innings,Runs,Average,Strike_Rate,Boundary_Percentage,SR_vs_Pace,SR_vs_Spin,Avg_vs_Pace,Avg_vs_Spin,SR_balls_1_10,SR_balls_11_20,SR_balls_21_30,SR_balls_31_40,SR_balls_41_50
Virat Kohli,98,4235,42.35,135.2,58.3,132.5,141.8,40.2,45.8,128.4,138.6,142.3,148.2,165.8
Rohit Sharma,95,3892,38.92,142.8,62.1,140.2,148.5,37.5,41.2,145.3,148.2,150.8,155.4,172.3
KL Rahul,87,3654,41.98,138.6,56.8,136.4,143.2,39.8,44.5,132.8,142.5,145.6,151.2,168.4
Shubman Gill,76,3124,39.05,145.3,59.4,143.8,149.2,37.2,42.8,142.6,150.4,153.8,158.6,175.2
Suryakumar Yadav,82,3456,38.84,158.4,64.2,155.8,163.5,36.5,41.8,148.2,162.5,168.4,175.8,192.6
Faf du Plessis,74,2987,40.36,137.4,57.2,135.6,141.8,38.9,43.2,135.4,141.2,144.8,149.6,166.8
Quinton de Kock,68,2845,41.84,148.6,61.5,146.2,153.4,40.2,44.8,152.8,155.6,158.2,162.4,178.6
Jos Buttler,65,2756,42.40,152.8,63.8,150.4,158.2,41.5,45.2,158.6,160.4,163.8,168.2,185.4
David Warner,71,2934,41.32,144.2,60.3,142.8,147.6,39.8,43.5,146.8,149.2,152.4,157.8,174.2
Ruturaj Gaikwad,69,2812,40.75,141.6,58.6,139.4,146.2,39.2,42.8,138.6,145.8,149.2,154.6,171.4
Ishan Kishan,64,2567,40.11,146.8,60.8,144.6,151.2,38.6,42.4,148.4,152.6,156.8,161.2,177.8
Sanju Samson,72,2923,40.60,143.4,59.2,141.2,148.6,39.4,43.6,140.8,147.6,151.4,156.8,173.2
Shreyas Iyer,75,3045,40.60,132.8,54.6,130.4,137.2,39.8,42.4,125.6,135.4,138.8,144.2,160.8
Rishabh Pant,58,2456,42.34,152.6,62.4,150.2,157.4,40.8,45.2,146.8,156.4,161.2,166.8,183.4
Glenn Maxwell,62,2234,36.03,162.4,66.8,160.2,167.8,34.5,38.8,152.6,165.8,172.4,178.6,195.8
Hardik Pandya,68,2345,34.49,156.8,63.2,154.6,161.4,33.2,36.8,148.4,160.2,165.8,172.4,189.6
Ravindra Jadeja,71,2156,30.37,142.6,56.4,140.2,147.8,29.4,32.6,132.8,145.4,150.6,156.8,173.2
Andre Russell,54,1876,34.74,178.6,72.4,176.2,183.4,33.8,36.2,162.4,180.8,188.6,195.2,212.8
Kieron Pollard,48,1654,34.46,168.4,68.6,166.2,173.8,33.2,36.8,156.8,172.6,178.4,184.6,201.2
MS Dhoni,52,1534,29.50,138.6,54.2,136.4,143.2,28.6,31.4,125.4,138.8,145.6,152.4,168.8
Dinesh Karthik,56,1745,31.16,148.4,58.8,146.2,153.6,30.2,33.4,136.8,150.6,157.4,164.2,180.6
Prithvi Shaw,48,1823,37.98,152.8,64.2,150.4,158.6,36.8,40.2,162.4,158.6,154.2,148.6,165.2
Devdutt Padikkal,52,1956,37.62,138.4,56.8,136.2,143.6,36.4,39.8,135.6,142.8,146.4,151.2,167.8
Yashasvi Jaiswal,42,1734,41.29,148.6,61.4,146.4,153.2,40.2,43.6,152.8,154.6,157.2,161.8,178.4
Tilak Varma,38,1456,38.32,144.8,59.6,142.6,149.4,37.4,40.8,140.8,148.6,152.4,157.6,174.2
Shivam Dube,45,1534,34.09,156.4,62.8,154.2,161.6,32.8,36.4,146.8,159.6,165.2,171.8,188.4
Axar Patel,58,1645,28.36,142.8,57.2,140.6,147.4,27.4,30.6,134.6,145.2,150.8,157.4,174.6
Washington Sundar,52,1423,27.37,136.4,54.8,134.2,141.6,26.4,29.4,128.6,138.8,144.6,151.2,167.8
Krunal Pandya,54,1534,28.41,140.6,56.4,138.4,145.8,27.6,30.8,132.4,143.2,148.8,155.6,172.4
Marcus Stoinis,48,1456,30.33,148.6,60.2,146.4,153.8,29.4,32.6,138.8,151.4,157.6,164.2,180.8
Cameron Green,35,1234,35.26,154.8,62.4,152.6,159.4,34.2,37.4,148.6,158.4,164.2,170.8,187.6
Liam Livingstone,32,1123,35.09,164.6,67.2,162.4,169.8,34.2,37.2,154.8,168.4,174.6,181.2,198.4
Nicholas Pooran,38,1345,35.39,162.8,66.4,160.6,168.2,34.6,37.8,156.4,166.8,172.4,178.6,195.2
Heinrich Klaasen,36,1289,35.81,158.4,64.8,156.2,163.6,34.8,38.2,150.6,162.4,168.2,174.8,191.6
Rahul Tripathi,52,1734,33.35,152.6,61.8,150.4,157.8,32.4,35.6,144.8,156.4,162.6,169.2,185.8
Nitish Rana,58,1845,31.81,144.8,58.6,142.6,149.4,30.8,34.2,138.6,148.2,153.8,160.4,176.8
Venkatesh Iyer,42,1456,34.67,146.4,59.8,144.2,151.6,33.6,37.2,140.4,150.2,156.4,162.8,179.4
Abhishek Sharma,38,1234,32.47,150.8,62.4,148.6,156.2,31.4,34.8,146.8,154.6,160.2,166.8,183.4
Rajat Patidar,35,1123,32.09,148.6,60.6,146.4,153.8,31.2,34.4,142.6,152.4,158.6,165.2,181.8
Ayush Badoni,32,945,29.53,144.8,58.4,142.6,150.2,28.6,31.8,136.8,148.4,154.6,161.2,177.8
Rinku Singh,36,1234,34.33,152.4,61.2,150.2,157.6,33.4,36.8,142.8,154.8,161.4,168.6,185.2
Jitesh Sharma,28,834,29.79,146.8,59.6,144.6,152.4,28.8,32.2,138.6,150.2,156.8,163.4,180.2
Dhruv Jurel,24,678,28.25,142.6,57.8,140.4,148.2,27.4,30.6,134.8,146.2,152.4,159.2,175.8
Wriddhiman Saha,32,945,29.53,136.4,55.2,134.2,141.6,28.6,31.8,132.6,140.2,145.8,151.4,167.6
Robin Uthappa,38,1234,32.47,142.8,57.4,140.6,148.2,31.4,34.8,138.4,146.6,152.2,158.8,175.4
Manish Pandey,42,1345,32.02,134.6,54.8,132.4,139.8,31.2,34.2,128.6,137.4,143.2,149.8,166.4
Ajinkya Rahane,45,1456,32.36,128.4,52.6,126.2,133.6,31.4,34.6,124.8,131.6,136.8,142.4,158.6
Kane Williamson,38,1234,32.47,126.8,51.4,124.6,132.2,31.6,34.8,122.4,129.8,135.2,141.6,157.8
Aiden Markram,35,1123,32.09,142.6,58.2,140.4,147.8,31.2,34.4,136.8,146.4,152.6,159.2,175.8
Travis Head,28,945,33.75,156.8,64.6,154.6,162.4,32.8,36.2,162.4,160.8,158.2,154.6,171.2
Mitchell Marsh,32,1067,33.34,152.4,62.2,150.2,157.6,32.4,35.8,146.8,156.2,162.4,169.2,185.8
