BatsmanName,venue,city,TotalBatsmenRuns_Venue,TotalBatsmenSixes_Venue,TotalBatsmenFours_Venue,TotalBallsFaced_Venue,TotalDotBalls_Venue,DotBallPercentage_Venue,BoundaryPercentage_Venue,TotalInnings_Venue,NumberOfOuts_Venue,NotOuts_Venue,BattingStrikeRate_Venue,BattingAverage_Venue
Akila Dananjaya,Coolidge Cricket Ground,Antigua,9,0,0,9,3,33.33,0,1,,,100,
Akila Dananjaya,R Premadasa Stadium,Colombo,1,0,0,1,,,0,1,,,100,
Akila Dananjaya,Rangiri Dambulla International Stadium,Dambulla,4,0,1,1,,,100,1,,,400,
Akila Dananjaya,Sophia Gardens,Wales,2,0,0,4,4,100,0,1,,,50,
Anrich Nortje,Adelaide Oval,Adelaide,4,0,1,1,,,100,1,,,400,
Anrich Nortje,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Vizag,0,0,0,1,1,100,,1,1,0,0,0
Anrich Nortje,Greenfield International Stadium,Trivandrum,2,0,0,2,,,0,1,,,100,
Anrich Nortje,National Cricket Stadium,Grenada,4,0,0,11,7,63.64,0,3,,,36.36,
Anrich Nortje,Saurashtra Cricket Association Stadium,Saurashtra,1,0,0,4,3,75,0,1,1,0,25,1
Anrich Nortje,SuperSport Park,Centurion,0,0,0,1,1,100,,1,,,0,
Anrich Nortje,Sydney Cricket Ground,Sydney,1,0,0,5,4,80,0,1,1,0,20,1
Anrich Nortje,Zayed Cricket Stadium,Abu Dhabi,2,0,0,3,2,66.67,0,1,1,0,66.67,2
Alishan Sharafu,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Muscat,0,0,0,2,2,100,,1,1,0,0,0
Alishan Sharafu,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Muscat,168,9,18,89,30,33.71,75,2,1,1,188.76,168
Alishan Sharafu,Dubai International Cricket Stadium,Dubai,72,1,8,66,31,46.97,52.78,3,3,0,109.09,24
Alishan Sharafu,GMHBA Stadium,Geelong,4,0,0,4,1,25,0,1,1,0,100,4
Alishan Sharafu,Mulpani Cricket Ground,Kathmandu,158,5,16,136,69,50.74,59.49,8,6,2,116.18,26.33
Alishan Sharafu,Tribhuvan University International Cricket Ground,Nepal,13,0,2,13,7,53.85,61.54,1,1,0,100,13
Alishan Sharafu,Zayed Cricket Stadium,Abu Dhabi,7,0,1,5,3,60,57.14,1,,,140,
Adam Zampa,Adelaide Oval,Adelaide,1,0,0,1,,,0,1,,,100,
Adam Zampa,Bellerive Oval,Tasmania,4,0,1,1,,,100,1,,,400,
