season,fullName,Current_Team,Team_in_2023,position,Starting_11,Batting_FP,Bowling_FP,Fielding_FP,Total_FP,AverageFantasyPointsin2021,AverageFantasyPointsin2022,AverageFantasyPointsin2023,Average_Fantasy_Points_2024,Consistency_Rating,ceiling_average,Tot_60_plus_scores,Upside_Score,Risk.Rating
2021,Abdul Samad,Sunrisers Hyderabad,Sunrisers Hyderabad,Allrounder,176,532,100,256,1064.0,24.18,,,,58,57.0,2,6.06 %,High
2022,Abdul Samad,Sunrisers Hyderabad,Sunrisers Hyderabad,Allrounder,32,8,0,32,72.0,,9.0,,,58,57.0,2,6.06 %,High
2024,Abdul Samad,Sunrisers Hyderabad,Sunrisers Hyderabad,Allrounder,192,1216,0,0,1216.0,,,,25.33,58,57.0,2,6.06 %,High
2023,Abdul Samad,Sunrisers Hyderabad,Sunrisers Hyderabad,Allrounder,128,876,0,128,1132.0,,,35.38,,58,57.0,2,6.06 %,High
2023,Abhinav Manohar,Gujarat Titans,Gujarat Titans,Allrounder,84,450,0,132,666.0,,,31.71,,55,63.33,2,12.5 %,High
2024,Abhinav Manohar,Gujarat Titans,Gujarat Titans,Allrounder,24,57,0,0,57.0,,,,9.5,55,63.33,2,12.5 %,High
2022,Abhinav Manohar,Gujarat Titans,Gujarat Titans,Allrounder,84,426,0,114,624.0,,29.71,,,55,63.33,2,12.5 %,High
2023,Abhishek Sharma,Sunrisers Hyderabad,Sunrisers Hyderabad,Allrounder,176,1224,176,152,1728.0,,,39.27,,70,115.67,16,32.65 %,Low
2022,Abhishek Sharma,Sunrisers Hyderabad,Sunrisers Hyderabad,Allrounder,224,2188,8,32,2452.0,,43.79,,,70,115.67,16,32.65 %,Low
2021,Abhishek Sharma,Sunrisers Hyderabad,Sunrisers Hyderabad,Allrounder,128,500,464,64,1156.0,36.12,,,,70,115.67,16,32.65 %,Low
2024,Abhishek Sharma,Sunrisers Hyderabad,Sunrisers Hyderabad,Allrounder,256,3152,296,0,3448.0,,,,53.88,70,115.67,16,32.65 %,Low
2023,Adam Zampa,Rajasthan Royals,Rajasthan Royals,Bowler,24,10,216,0,250.0,,,41.67,,59,62.67,2,33.33 %,High
2024,Aiden Markram,Sunrisers Hyderabad,Sunrisers Hyderabad,Batsman,176,1264,32,0,1296.0,,,,29.45,65,94.67,10,22.73 %,Medium
2021,Aiden Markram,Sunrisers Hyderabad,Sunrisers Hyderabad,Batsman,96,696,8,112,912.0,38.0,,,,65,94.67,10,22.73 %,Medium
2023,Aiden Markram,Sunrisers Hyderabad,Sunrisers Hyderabad,Batsman,208,1232,140,336,1916.0,,,36.85,,65,94.67,10,22.73 %,Medium
2022,Aiden Markram,Sunrisers Hyderabad,Sunrisers Hyderabad,Batsman,224,2008,84,192,2508.0,,44.79,,,65,94.67,10,22.73 %,Medium
2022,Ajinkya Rahane,Chennai Super Kings,Chennai Super Kings,Batsman,112,612,0,120,844.0,,30.14,,,60,90.67,4,12.12 %,High
2021,Ajinkya Rahane,Chennai Super Kings,Chennai Super Kings,Batsman,16,36,0,0,52.0,13.0,,,,60,90.67,4,12.12 %,High
2024,Ajinkya Rahane,Chennai Super Kings,Chennai Super Kings,Batsman,192,1464,0,0,1464.0,,,,30.5,60,90.67,4,12.12 %,High
2023,Ajinkya Rahane,Chennai Super Kings,Chennai Super Kings,Batsman,208,1760,0,304,2272.0,,,43.69,,60,90.67,4,12.12 %,High
2023,Akash Deep,Royal Challengers Bengaluru,,Allrounder,24,63,57,24,168.0,,,28.0,,53,61.0,1,12.5 %,High
2024,Akash Deep,Royal Challengers Bengaluru,,Allrounder,12,18,87,0,105.0,,,,35.0,53,61.0,1,12.5 %,High
2022,Akash Deep,Royal Challengers Bengaluru,,Allrounder,60,0,429,24,513.0,,34.2,,,53,61.0,1,12.5 %,High
2023,Akash Madhwal,Mumbai Indians,Mumbai Indians,Bowler,64,0,864,12,940.0,,,58.75,,61,136.0,4,30.77 %,High
2024,Akash Madhwal,Mumbai Indians,Mumbai Indians,Bowler,8,16,322,0,338.0,,,,33.8,61,136.0,4,30.77 %,High
2023,Akash Singh,Chennai Super Kings,Chennai Super Kings,Bowler,48,0,258,16,322.0,,,26.83,,53,43.33,0,0 %,High
2021,Akash Singh,Chennai Super Kings,Chennai Super Kings,Bowler,8,0,0,0,8.0,4.0,,,,53,43.33,0,0 %,High
2022,Alzarri Joseph,Gujarat Titans,Gujarat Titans,Bowler,108,15,561,78,762.0,,28.22,,,56,62.67,2,10.53 %,High
2023,Alzarri Joseph,Gujarat Titans,Gujarat Titans,Bowler,84,12,519,48,663.0,,,31.57,,56,62.67,2,10.53 %,High
2024,Alzarri Joseph,Gujarat Titans,Gujarat Titans,Bowler,0,0,111,0,111.0,,,,12.33,56,62.67,2,10.53 %,High
2022,Aman Hakim Khan,Delhi Capitals,Delhi Capitals,Bowler,8,12,0,0,20.0,,10.0,,,55,50.0,1,9.09 %,High
2023,Aman Hakim Khan,Delhi Capitals,Delhi Capitals,Bowler,80,282,0,144,506.0,,,25.3,,55,50.0,1,9.09 %,High
2022,Ambati Rayudu,Chennai Super Kings,Chennai Super Kings,Batsman,144,1059,0,96,1299.0,,36.08,,,63,99.67,4,10.26 %,High
2021,Ambati Rayudu,Chennai Super Kings,Chennai Super Kings,Batsman,168,1017,0,84,1269.0,30.21,,,,63,99.67,4,10.26 %,High
2023,Ambati Rayudu,Chennai Super Kings,Chennai Super Kings,Batsman,156,576,0,48,780.0,,,20.0,,63,99.67,4,10.26 %,High
2023,Amit Mishra,Lucknow Super Giants,Lucknow Super Giants,Bowler,84,57,567,42,750.0,,,35.71,,56,90.33,3,25 %,High
2024,Amit Mishra,Lucknow Super Giants,Lucknow Super Giants,Bowler,0,0,87,0,87.0,,,,29.0,56,90.33,3,25 %,High
2021,Amit Mishra,Lucknow Super Giants,Lucknow Super Giants,Bowler,48,0,528,0,576.0,48.0,,,,56,90.33,3,25 %,High
2023,Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders,Allrounder,224,1272,708,240,2444.0,,,43.64,,78,172.33,23,45.1 %,Low
2024,Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders,Allrounder,144,1448,2156,0,3604.0,,,,64.36,78,172.33,23,45.1 %,Low
2021,Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders,Allrounder,160,1012,1156,64,2392.0,59.8,,,,78,172.33,23,45.1 %,Low
2022,Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders,Allrounder,208,1852,1780,56,3896.0,,74.92,,,78,172.33,23,45.1 %,Low
2021,Anmolpreet Singh,Sunrisers Hyderabad,,Batsman,16,80,0,0,96.0,24.0,,,,52,51.33,0,0 %,High
2022,Anmolpreet Singh,Sunrisers Hyderabad,,Batsman,32,56,0,0,88.0,,11.0,,,52,51.33,0,0 %,High
2024,Anmolpreet Singh,Sunrisers Hyderabad,,Batsman,32,60,0,0,60.0,,,,7.5,52,51.33,0,0 %,High
